route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_1592,1592,bus,G18,THYAGARAYA NAGAR To CEMENT ROAD,3
bus_1597,1597,bus,18N,NANGANALLUR To GUDUVANCHERY,3
bus_1599,1599,bus,M1A,CEMENT ROAD ALANDUR To MADIPAKKAM B.T,3
bus_1600,1600,bus,M1A,THIRUVANMIYUR To MADIPAKKAM B.T,3
bus_1603,1603,bus,M51,CEMENT ROAD To PRATHYANGIRA DEVI TEMPLE,3
bus_1604,1604,bus,M51,EZHIL NAGAR PRATYANGIRA TEMPLE To THYAGARAYA NAGAR BUS TERMINUS,3
bus_1611,1611,bus,N45B,BROADWAY To MOOVARASANPET,3
bus_1612,1612,bus,N45B,CEMENT ROAD To MOOVARASANPET,3
bus_1617,1617,bus,S69,CHENNAI AIRPORT METRO To KUNDRATHUR B.T,3
bus_1619,1619,bus,S74,CEMENT ROAD ALANDUR To KEELKATTALAI,3
bus_1620,1620,bus,S74,KEELKATTALAI To PALLAVARAM RAILWAY STATION,3
bus_1626,1626,bus,S82,ALANDUR METRO R.S To MADIPAKKAM B.T,3
bus_1628,1628,bus,S83,ALANDUR METRO R.S To GURU NANAK COLLEGE,3
bus_1630,1630,bus,s84ct,ALANDUR METRO R.S To PORUR JUNCTION,3
bus_1636,1636,bus,A51CT,VELACHERY B.T To BROADWAY,3
bus_1641,1641,bus,18A,TAMBARAM WEST To CEMENT ROAD,3
bus_1644,1644,bus,18E,RAMAPURAM To ALANDUR,3
bus_1645,1645,bus,18G,TAMBARAM WEST To CEMENT ROAD,3
bus_1649,1649,bus,18RX,NANGANALLUR To CEMENT ROAD,3
bus_1651,1651,bus,21G,KCBT - KILAMBAKKAM To CEMENT ROAD,3
bus_1655,1655,bus,45B,GUINDY TVK ESTATE To VIVEKANANDA HOUSE,3
bus_1656,1656,bus,45B,MUGALIVAKKAM MM TEMPLE To GUINDY TVK ESTATE,3
bus_1659,1659,bus,45BCT,CEMENT ROAD To ANNA SQUARE,3
bus_1660,1660,bus,45BCT,GUINDY TVK ESTATE To ANNA SQUARE,3
bus_1663,1663,bus,70C,TAMBARAM WEST To KOYAMBEDU MARKET,3
bus_1665,1665,bus,70N,NANGANALLUR To CEMENT ROAD,3
bus_1666,1666,bus,70N,NANGANALLUR BUS TERMINUS To M.G.R.KOYAMBEDU B.T,3
